pizza_type,pizza_size,quantity,total_amount,name,phone_number,orderID
pepperoni,large,1,15,Miroslav Partalov,35231292,30
fanta,large,1,0,Miroslav Partalov,35231292,30
pepperoni,large,1,15.00,Miroslav Partalov,35231292,15
pepperoni,extra-large,1,21.00,Miroslav Partalov,35231292,15
cola,extra-large,1,5.00,Miroslav Partalov,35231292,15
pepperoni,extra-large,1,21.00,Miroslav Partalov,35231292,15
cola,extra-large,1,5.00,Miroslav Partalov,35231292,15
pepperoni,extra-large,1,21.00,Miroslav Partalov,35231292,15
cola,extra-large,1,5.00,Miroslav Partalov,35231292,15
pepperoni,extra-large,1,21.00,Miroslav Partalov,35231292,16
cola,extra-large,1,5.00,Miroslav Partalov,35231292,17
pepperoni,extra-large,1,21.00,Miroslav Partalov,35231292,18
cola,extra-large,1,5.00,Miroslav Partalov,35231292,18
pepperoni,extra-large,1,21.00,Miroslav Partalov,35231292,18
cola,extra-large,1,5.00,Miroslav Partalov,35231292,
pepperoni,extra-large,1,21.00,Miroslav Partalov,35231292,15
cola,extra-large,1,5.00,Miroslav Partalov,35231292,15
pepperoni,large,1,15.00,Miroslav Partalov,35231292,39
pepperoni,large,2,30.00,Miroslav Partalov,35231292,39
fanta,normal,1,2.5,Miroslav Partalov,35231292,28
cheese,normal,1,8,Miroslav Partalov,35231292,28
meat-lovers,normal,1,14,Miroslav Partalov,23141,100
fanta,normal,1,2.5,Miroslav Partalov,23141,100
